"Object Id","Name","Type","Chance","Unused","Location","Min Size","Max Size"
"372","Clam","trap",".15","681 .35","ocean","1","5"
"715","Lobster","trap",".05","688 .45 689 .35 690 .35","ocean","2","20"
"716","Crayfish","trap",".35","682 .4","freshwater","1","8"
"717","Crab","trap",".1","684 .45","ocean","1","20"
"718","Cockle","trap",".3","680 .2","ocean","1","5"
"719","Mussel","trap",".35","683 .15","ocean","1","5"
"720","Shrimp","trap",".2","681 .35","ocean","1","3"
"721","Snail","trap",".25","680 .35","freshwater","1","5"
"722","Periwinkle","trap",".55","681 .35","freshwater","1","3"
"723","Oyster","trap",".15","682 .35","ocean","1","5"
